Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D
11/9/2021,N,Utah,P12,Abilene Christian,H,"W, 70-56",101,79.8
11/9/2021,N,Ohio St.,B10,Akron,H,"W, 67-66",110,104.9
11/9/2021,N,Louisiana Tech,CUSA,Alabama,A,"L, 93-64",97.8,110
11/9/2021,N,Tennessee St.,OVC,Alabama A&M,A,"L, 82-73",106.3,131.2
11/9/2021,N,Western Kentucky,CUSA,Alabama St.,H,"W, 79-74",87.1,103.9
11/9/2021,N,Towson,CAA,Albany,A,"W, 77-56",109.5,96.1
11/9/2021,N,Washington St.,P12,Alcorn St.,H,"W, 85-67",118.9,103.6
11/9/2021,N,Marist,MAAC,American,A,"L, 77-73",89,104.8
11/9/2021,N,Iona,MAAC,Appalachian St.,H,"W, 65-53",95.8,88.9
11/9/2021,N,Northern Arizona,BSky,Arizona,A,"L, 81-52",86.1,95.4
11/9/2021,N,Portland,WCC,Arizona St.,A,"L, 76-60",90.5,98.4
11/9/2021,N,Mercer,SC,Arkansas,A,"L, 74-61",107,95.8
11/9/2021,N,Creighton,BE,Arkansas Pine Bluff,H,"W, 90-77",94.3,111.8
11/9/2021,N,Morehead St.,OVC,Auburn,A,"L, 77-54",88.2,102.2
11/9/2021,N,Georgia Southern,SB,Ball St.,H,"W, 82-71",103.9,106.9
11/9/2021,N,Purdue,B10,Bellarmine,H,"W, 96-67",129.1,100.1
11/9/2021,N,Ohio,MAC,Belmont,H,"W, 92-80",125.3,105.4
11/9/2021,N,South Florida,Amer,Bethune Cookman,H,"W, 75-54",99,94.3
11/9/2021,N,Cornell,Ivy,Binghamton,A,"W, 76-69",94.8,93.5
11/9/2021,N,Utah Valley,WAC,Boise St.,A,"L, 76-56",94.5,102.2
11/9/2021,N,Dartmouth,Ivy,Boston College,A,"L, 73-57",89,114.9
11/9/2021,N,Rhode Island,A10,Boston University,H,"W, 71-62",91.8,85
11/9/2021,N,Western Carolina,SC,Bowling Green,H,"W, 79-71",83.5,85.4
11/9/2021,N,South Dakota St.,Sum,Bradley,H,"W, 81-65",107.1,79
11/9/2021,N,North Carolina St.,ACC,Bucknell,H,"W, 88-70",98.7,105.4
11/9/2021,N,IUPUI,Horz,Butler,A,"L, 56-47",83.7,96
11/9/2021,N,Cleveland St.,Horz,BYU,A,"L, 69-59",100.7,98.9
11/9/2021,N,UCLA,P12,Cal St. Bakersfield,H,"W, 95-58",113.8,84.2
11/9/2021,N,Santa Clara,WCC,Cal St. Fullerton,H,"W, 84-77",122.7,118.3
11/9/2021,N,USC,P12,Cal St. Northridge,H,"W, 89-49",118.2,82.9
11/9/2021,N,UC San Diego,BW,California,A,"W, 80-67",113.3,99.3
11/9/2021,N,Miami FL,ACC,Canisius,H,"W, 77-67",100.9,97.1
11/9/2021,N,Saint Louis,A10,Central Arkansas,H,"W, 96-61",106.3,90.2
11/9/2021,N,Connecticut,BE,Central Connecticut,H,"W, 99-48",117.8,81.1
11/9/2021,N,Missouri,SEC,Central Michigan,H,"W, 78-68",104.9,108.5
11/9/2021,N,Monmouth,MAAC,Charlotte,A,"L, 68-66",91.3,101.8
11/9/2021,N,Loyola Marymount,WCC,Chattanooga,H,"L, 75-64",109.7,111.4
11/9/2021,N,St. Thomas,Sum,Chicago St.,A,"L, 77-72",98.5,120.5
11/9/2021,N,Evansville,MVC,Cincinnati,A,"L, 65-43",70.9,89.8
11/9/2021,N,Presbyterian,BSth,Clemson,A,"L, 64-53",88.5,84.2
11/9/2021,N,BYU,WCC,Cleveland St.,H,"W, 69-59",103,94.7
11/9/2021,N,Northeastern,CAA,Colgate,A,"L, 65-58",86,89.2
11/9/2021,N,Montana St.,BSky,Colorado,A,"L, 94-90",126.5,114.4
11/9/2021,N,Oral Roberts,Sum,Colorado St.,A,"L, 109-80",117.8,124
11/9/2021,N,Fordham,A10,Columbia,H,"W, 77-67",104,105.3
11/9/2021,N,Central Connecticut,NEC,Connecticut,A,"L, 99-48",76.1,117.2
11/9/2021,N,Loyola Chicago,MVC,Coppin St.,H,"W, 103-45",125.5,72.1
11/9/2021,N,Binghamton,AE,Cornell,H,"L, 76-69",83.9,97
11/9/2021,N,Arkansas Pine Bluff,SWAC,Creighton,A,"L, 90-77",118.4,107.8
11/9/2021,N,Boston College,ACC,Dartmouth,H,"W, 73-57",118.6,91.2
11/9/2021,N,Delaware,CAA,Davidson,A,"L, 93-71",106.9,116.4
11/9/2021,N,Illinois Chicago,Horz,Dayton,A,"L, 64-54",101.6,95.2
11/9/2021,N,Davidson,A10,Delaware,H,"W, 93-71",130.7,101.5
